# index, _pos
436,"array([-44.50338735, -31.7521658 ])"
437,"array([-18.22705098,  77.56921552])"
438,"array([-61.80673188, 116.52909949])"
439,"array([26.23970974, -3.12529442])"
440,"array([ 32.56609501, -24.22463156])"
441,"array([ 42.81659215, -42.41633842])"
442,"array([34.41851879,  9.2876284 ])"
443,"array([-14.94418369, -49.54933211])"
444,"array([-45.76432457, -84.33245991])"
445,"array([ 0.19797538, 55.98002633])"
446,"array([-44.301017  ,  82.17412566])"
447,"array([-47.18644702,  28.78135288])"
448,"array([-30.38122263,  26.33763393])"
449,"array([ 26.70154344, -11.49221954])"
450,"array([33.05789318, -3.77778003])"
451,"array([ 52.88695181, -67.47121224])"
452,"array([ 72.74698145, -89.84456213])"
453,"array([ 26.09178792, -14.12983699])"
454,"array([ 1.23470417, 41.66770038])"
455,"array([56.62003922, -1.41501457])"
456,"array([36.17458776, -3.65804829])"
457,"array([12.26676359, -4.43376164])"
458,"array([83.05105509,  3.34311115])"
459,"array([91.37179441,  4.45139363])"
460,"array([ -9.45233637, 111.14902195])"
461,"array([ -14.29927838, -104.5382186 ])"
462,"array([ -12.26186111, -124.98293898])"
463,"array([ 30.47401304, -10.18969082])"
464,"array([59.78932203, 39.07843896])"
465,"array([60.61360556, 30.2097248 ])"
466,"array([ 93.57118512, -46.08937294])"
467,"array([ -1.50391505, -53.32471673])"
468,"array([-24.13168026, -60.60390892])"
469,"array([  7.82770905, 104.60170899])"
470,"array([ 33.85512836, -39.08664884])"
471,"array([25.51344822,  2.03279067])"
472,"array([ 42.73555263, 110.3260313 ])"
473,"array([47.15400208, 66.14371315])"
474,"array([83.99310647, 86.39005255])"
475,"array([35.19228676, 13.98617292])"
476,"array([ 44.59192337, -54.21790904])"
477,"array([  52.90244895, -104.28259115])"
478,"array([42.67192007, 47.08266289])"
479,"array([62.71841391, 55.33784285])"
480,"array([ 85.18466013, -46.28600826])"
481,"array([ 30.88550592, -80.63877792])"
482,"array([50.60448696,  6.7533074 ])"
483,"array([-29.91006362,  35.03433975])"
484,"array([ 27.29832802, -17.15052629])"
485,"array([  4.9881951 , -58.30099173])"
486,"array([30.88725708, 60.15380465])"
487,"array([58.01461578, 42.76169964])"
488,"array([46.10877326, 18.82654487])"
489,"array([  6.72018566, -30.80045252])"
490,"array([-41.37993607, -42.58162873])"
491,"array([ 22.02034561, 114.01912332])"
492,"array([ 43.14534375, 134.41912879])"
493,"array([31.56284946, -0.30722025])"
494,"array([74.72091788, 65.5322441 ])"
495,"array([  6.65335883, -29.15578223])"
496,"array([ -6.80793642, -62.24193558])"
497,"array([10.67485555, -9.99525681])"
498,"array([32.35340963,  5.07451734])"
499,"array([-61.42539614, -34.2323865 ])"
500,"array([-84.9992046 , -22.96501361])"
501,"array([31.17107134, 68.34395107])"
502,"array([21.93685482, -5.02223367])"
503,"array([ 5.07659026, 59.38217633])"
504,"array([-39.1305658 ,  88.53506848])"
505,"array([24.00542636,  5.04810632])"
506,"array([  1.82546065, -10.54505933])"
507,"array([-41.16826275, -19.00004171])"
508,"array([38.55243795,  9.00632719])"
509,"array([13.77557469,  0.60332516])"
510,"array([-22.77141268, -22.5342482 ])"
511,"array([-11.87910444,  33.37925432])"
512,"array([ 20.51995068, -41.07037265])"
