# index, _pos
6509,"array([55.0915905 , 48.66803832])"
6510,"array([64.40761661, 76.82867885])"
6511,"array([ 29.3461409 , -27.22123542])"
6512,"array([ 75.33813334, -13.34863132])"
6513,"array([ 64.78060697, -20.45276694])"
6514,"array([ 2.99730409, 48.63191933])"
6515,"array([-23.41319793,  53.50261841])"
6516,"array([ 154.03885573, -106.17317235])"
6517,"array([ 42.85575703, -46.50513831])"
6518,"array([88.7776638 , 22.66802977])"
6519,"array([ 56.91178706, -10.78719666])"
6520,"array([ 3.37669055, 41.4565988 ])"
6521,"array([ 41.87440308, -29.33511896])"
6522,"array([-1.75697947, 19.72809966])"
6523,"array([68.49506906, 57.12052532])"
6524,"array([-7.88856604, 68.38305936])"
6525,"array([ 128.23287085, -103.86918551])"
6526,"array([103.87525141, -85.85019161])"
6527,"array([53.35699366, 45.59671672])"
6528,"array([ 41.22502312, -30.46852286])"
6529,"array([90.54930491, 88.61912008])"
6530,"array([78.90242912, 60.65212401])"
6531,"array([ 35.03281377, -21.5323277 ])"
6532,"array([-98.23677562, -67.70706915])"
6533,"array([91.62124342, -6.31721648])"
6534,"array([ -4.89800225, -16.53666896])"
6535,"array([ 38.55612843, -39.42733529])"
6536,"array([48.59434368, 99.55454573])"
6537,"array([102.73226757,  55.92248509])"
6538,"array([ -31.75575199, -138.10420338])"
6539,"array([ -46.17115066, -171.417824  ])"
6540,"array([46.76522706, 33.32556131])"
6541,"array([ 67.43342472, -11.25806797])"
6542,"array([   8.99729357, -105.08062069])"
6543,"array([ 21.01303947, 113.58516825])"
6544,"array([-3.1398421 , 71.99709913])"
6545,"array([72.64955771, 20.79825039])"
6546,"array([57.23204985,  3.2156631 ])"
6547,"array([75.93441529, 17.14261287])"
6548,"array([162.4633816 ,  15.49350324])"
6549,"array([-22.91340607,  -5.25750456])"
6550,"array([-111.73777597,   15.83124343])"
6551,"array([ 59.6447537, -65.9570758])"
6552,"array([101.1576759 ,  69.03198522])"
6553,"array([-75.10968368,  60.64133282])"
6554,"array([11.60223178, 36.7620341 ])"
6555,"array([  2.56090997, -26.41199879])"
6556,"array([-26.7131645 ,   6.00713536])"
6557,"array([-14.76355271,  28.17019408])"
6558,"array([ 3.06730704, 71.30968046])"
6559,"array([ 83.47989589, 123.69857857])"
6560,"array([-30.47806621,  16.31192035])"
6561,"array([30.91465344, 18.6108453 ])"
6562,"array([-6.5543299 , 49.50597868])"
6563,"array([   0.95488905, -110.53048282])"
6564,"array([ 74.70944266, -60.00117266])"
6565,"array([112.06676511,  14.31969658])"
6566,"array([98.22880703, 35.53281801])"
6567,"array([128.40978642, -64.89450163])"
6568,"array([127.97368316,  16.74012202])"
6569,"array([-31.1064319 ,  28.69126841])"
6570,"array([-41.98622891, 100.42475571])"
6571,"array([ 66.52921684, 125.8609215 ])"
6572,"array([-1.47047867, 24.96572863])"
6573,"array([24.14966267, 57.61626776])"
6574,"array([-106.8129099 ,  -51.88213092])"
6575,"array([72.30707758, -1.13468922])"
6576,"array([98.57402713, -7.09028765])"
6577,"array([29.86188047, 26.06381782])"
6578,"array([67.81807839, 38.98013489])"
6579,"array([17.50760598, 59.27443559])"
6580,"array([ 67.08007142, 119.94390921])"
6581,"array([125.80240977,   0.68349928])"
6582,"array([98.75473067, 70.4174692 ])"
6583,"array([ 25.05962799, -54.95180669])"
6584,"array([-34.75327265, -69.59008216])"
6585,"array([ -72.4866759 , -100.55651345])"
6586,"array([ 59.78052527, 113.16258208])"
6587,"array([-43.28159342,  15.00849545])"
6588,"array([ 2.36473737, 50.70475739])"
6589,"array([54.40556126, -0.8771809 ])"
6590,"array([ 32.53988223, -67.81305856])"
6591,"array([-50.31603959, -73.2081007 ])"
6592,"array([16.13377408, 41.81470418])"
6593,"array([-54.67805665,  89.71263992])"
6594,"array([-21.52630418, -45.39291348])"
6595,"array([-41.47875269,  62.30102949])"
6596,"array([5.5847832 , 5.30114704])"
6597,"array([ 60.9470071 , 106.40239425])"
6598,"array([ 79.14119091, 115.40407475])"
6599,"array([128.20087265,  35.87549589])"
6600,"array([82.85106333, 79.63055215])"
6601,"array([99.74236307, 16.46102086])"
6602,"array([78.14393932, 17.6933594 ])"
6603,"array([52.96467498, 94.5848338 ])"
6604,"array([18.65743288, 40.2254909 ])"
6605,"array([-12.50908496,  -9.47812325])"
6606,"array([ 5.28648921, 56.3519829 ])"
6607,"array([-60.35403003,  44.53434524])"
6608,"array([-108.32476139,   58.42804803])"
6609,"array([-6.0907667 , 47.41081311])"
6610,"array([94.01148576, 36.05957166])"
6611,"array([22.65467907, 62.69004479])"
6612,"array([ 93.17023051, -52.65439215])"
6613,"array([ 98.71691109, -54.28496372])"
6614,"array([-26.61154885,  80.94465846])"
6615,"array([  69.0102924 , -116.97942549])"
6616,"array([90.06390149, 78.53105954])"
6617,"array([40.90502379,  6.17882946])"
6618,"array([-43.175471  ,  24.46430765])"
6619,"array([-40.83889778,  43.34520304])"
6620,"array([ 4.84379106, 48.5270539 ])"
6621,"array([ 64.99443479, 125.83645826])"
6622,"array([ 71.00569952, 124.04987777])"
6623,"array([ 17.74770685, -12.77919363])"
6624,"array([-18.00296799,  24.20150424])"
6625,"array([  -4.03274974, -126.7936204 ])"
6626,"array([  5.04727053, -79.20841803])"
6627,"array([45.67793742, 60.43307785])"
6628,"array([ 68.32882557, -14.89941324])"
6629,"array([ 79.8204347 , 165.27465642])"
6630,"array([ 59.58389656, 138.13322643])"
6631,"array([ 29.70048477, 110.82924294])"
6632,"array([23.79110143, 25.63930082])"
6633,"array([47.98237913, 10.47941873])"
6634,"array([-60.12425617, -89.25689131])"
6635,"array([-39.52241908, -96.37972427])"
6636,"array([-13.21839116, 111.53409008])"
6637,"array([44.8286372 ,  4.85447187])"
6638,"array([104.19747985,  54.27591726])"
6639,"array([ 64.12487621, -10.72591808])"
6640,"array([ 43.36769051, -31.97697239])"
6641,"array([98.97819192, 44.39893139])"
6642,"array([ 60.44206776, 102.5880652 ])"
6643,"array([ 12.5110885 , 103.48406759])"
6644,"array([-44.42440934,   9.39329496])"
6645,"array([ 50.07947951, 100.08332117])"
6646,"array([ 23.49618098, -31.94242024])"
6647,"array([0.30247854, 4.09878291])"
6648,"array([ 37.94001951, -30.26287608])"
6649,"array([ 23.38088703, 106.80902711])"
6650,"array([84.17891551, 15.91348998])"
6651,"array([ 26.69392947, -57.58179737])"
6652,"array([ 52.74752834, -20.28223294])"
6653,"array([35.6970702, 39.538694 ])"
6654,"array([11.40779566, 23.68555657])"
6655,"array([-65.50186028,  97.10195173])"
6656,"array([-12.42636145,  92.07858827])"
6657,"array([-29.21178309, -74.12141607])"
6658,"array([ 7.02321781, 12.37147159])"
6659,"array([73.87103755,  9.82934137])"
6660,"array([31.73419919, 44.89707585])"
6661,"array([49.20688261, 45.84900854])"
6662,"array([62.43021766, 69.84824675])"
6663,"array([ 60.45190916, -10.77443467])"
6664,"array([158.98815528,   1.76505468])"
6665,"array([119.18842802, -10.50191929])"
6666,"array([165.20874539, -26.47819097])"
6667,"array([ 68.04424454, 108.2136485 ])"
6668,"array([157.35289657,  12.13230664])"
6669,"array([ 32.82297991, 133.11159229])"
6670,"array([ 4.65666111, 87.15271251])"
6671,"array([-39.2410232 ,  21.04156008])"
6672,"array([-72.4637225 ,  20.95803511])"
6673,"array([-17.33958735, -92.43932531])"
6674,"array([ 67.9679153 , -30.14596791])"
6675,"array([58.81690505, 29.22397728])"
6676,"array([26.7735559 , 47.12620294])"
6677,"array([-90.63396652, -54.92587177])"
6678,"array([-13.86193118, -35.96852707])"
6679,"array([-35.82042404,  29.69390116])"
6680,"array([-74.38946545,  21.06411222])"
6681,"array([122.77663569,  60.6853508 ])"
6682,"array([101.70418535,  62.88422416])"
6683,"array([74.4917895 , 69.66423005])"
6684,"array([124.96144893,  98.47147927])"
6685,"array([-66.9821406 , -58.72709316])"
6686,"array([ 71.5510425 , -85.57352139])"
6687,"array([ 102.01615162, -122.60109489])"
6688,"array([ 16.01661515, -14.35682073])"
6689,"array([ 40.35582773, 108.95885146])"
6690,"array([  47.78033021, -149.09685564])"
6691,"array([  23.96568799, -103.44614602])"
6692,"array([-49.90826989,  80.39238408])"
6693,"array([-63.31745364, -91.04765542])"
6694,"array([50.87151053,  1.0828514 ])"
6695,"array([90.73040023, 97.65542234])"
6696,"array([48.33634644, 52.14201146])"
6697,"array([ 81.6777067 , 113.87209373])"
6698,"array([21.47935285, 63.18998878])"
6699,"array([27.45454009, 65.71767923])"
6700,"array([ 72.70430947, -51.88505409])"
6701,"array([ 16.79935148, 107.51160985])"
6702,"array([ -16.16102108, -104.22461051])"
6703,"array([134.11966516,  26.88400382])"
6704,"array([46.02179175, 16.41612136])"
6705,"array([23.14481428, -1.92295062])"
6706,"array([-13.33940144,  68.00206345])"
6707,"array([ 89.96887508, 124.35892081])"
6708,"array([58.38246158, 84.79474554])"
6709,"array([42.48555663, 11.82063234])"
6710,"array([118.44695755,   6.79429054])"
6711,"array([111.68978078, -85.88166341])"
6712,"array([-60.65598516, -63.18217603])"
6713,"array([-43.59365356, -30.04594697])"
6714,"array([132.44339381, -53.6519974 ])"
6715,"array([117.38216173,  22.31105733])"
6716,"array([15.53676596,  8.34277292])"
6717,"array([  3.97707984, -85.30995103])"
6718,"array([ 15.28594669, -18.7493214 ])"
6719,"array([12.21213907, 28.66313519])"
6720,"array([50.60323844, 69.05259527])"
6721,"array([-9.74429933, -7.67720098])"
6722,"array([ 96.95442957, -12.46885283])"
6723,"array([-30.90752787,  59.09197578])"
6724,"array([43.31761035,  3.98155856])"
6725,"array([-41.10479025, 106.49183008])"
6726,"array([55.60636557, 82.27224998])"
6727,"array([ 37.42530391, 116.66532928])"
6728,"array([ 13.5062517 , -11.65009863])"
6729,"array([-10.52918434, -64.35822542])"
6730,"array([44.94044609, -7.11346057])"
6731,"array([11.16348077, 63.06185728])"
6732,"array([ 65.37344908, -25.23999599])"
6733,"array([103.62097386,  27.26460377])"
6734,"array([-67.74963862,  28.72903974])"
6735,"array([  70.03168306, -100.76849872])"
6736,"array([28.79819514,  5.76678304])"
6737,"array([52.86948593, 36.79010856])"
6738,"array([106.29246226,  38.76409178])"
6739,"array([-19.31317244,  32.69209273])"
6740,"array([34.55601345, 73.22367238])"
6741,"array([80.41095895, 97.12768347])"
6742,"array([152.2238105 , -50.52847158])"
6743,"array([-46.84927324, -21.30871712])"
6744,"array([-49.01475421, 117.52776403])"
6745,"array([-55.61752574,  18.11670507])"
6746,"array([10.62226111, -7.08569179])"
6747,"array([ 69.57820259, -73.51746072])"
6748,"array([ 23.81047785, 127.54660089])"
6749,"array([105.18052201,  33.93566684])"
6750,"array([-38.78917817, -41.02102569])"
6751,"array([59.84524728,  6.76427515])"
6752,"array([89.27635561, 36.87796711])"
6753,"array([79.12939015, 11.13394941])"
6754,"array([3.06255922, 1.19984407])"
6755,"array([ 22.70149947, -31.33291917])"
6756,"array([-40.41390017, -38.21729165])"
6757,"array([38.46495932,  6.65767307])"
6758,"array([51.05352326, 12.54403396])"
6759,"array([ 19.33408282, -20.82015119])"
6760,"array([ 19.56468194, -85.83953468])"
6761,"array([ 34.4272489 , -20.41391231])"
6762,"array([ 90.05107012, -17.27740587])"
6763,"array([115.95232743,  16.38443378])"
6764,"array([169.71718531,  15.88205505])"
6765,"array([ 10.46051563, -23.07085498])"
6766,"array([18.23890495, 23.1166617 ])"
6767,"array([97.50780582, 69.68107379])"
6768,"array([ 36.70021859, 108.28818056])"
6769,"array([ 77.74082001, -74.48463778])"
6770,"array([145.40561554,   4.27305781])"
6771,"array([ 31.20552026, -75.12716574])"
6772,"array([ 22.01371335, 120.30655851])"
6773,"array([-13.57545677,  27.46211074])"
6774,"array([21.66351633, 40.29611443])"
6775,"array([-46.25282706, -39.5774452 ])"
6776,"array([-91.98231398, -59.0196319 ])"
6777,"array([113.71498092, -15.18335149])"
6778,"array([158.41732532, -22.48816235])"
6779,"array([-36.5836356, -90.9869222])"
6780,"array([-11.98490418,  47.06356882])"
6781,"array([  8.34844453, 105.81843037])"
6782,"array([ 49.16832508, -64.1125655 ])"
6783,"array([ 49.42918178, -21.48878586])"
6784,"array([-62.28996419,  44.65532978])"
6785,"array([51.36588854, 74.50230314])"
6786,"array([52.60349578, 27.10944534])"
6787,"array([  6.88182737, 150.20909821])"
6788,"array([89.11309583, 27.55713092])"
6789,"array([58.28801667, 50.08208632])"
6790,"array([11.83775075, 55.74433499])"
6791,"array([61.08194472, 95.87113976])"
6792,"array([ 1.87428648, 62.75043319])"
6793,"array([ 9.77268521, 40.84024134])"
6794,"array([48.90413872, 36.12927531])"
6795,"array([-40.48990761, 124.5079093 ])"
6796,"array([ 40.90828718, -10.39152771])"
6797,"array([38.17025643, 24.84051651])"
6798,"array([106.06492902,  15.19272106])"
6799,"array([100.62200827, 182.1651038 ])"
6800,"array([-7.70846563, 69.3426522 ])"
6801,"array([40.64243703, -4.37303023])"
6802,"array([ 60.45994178, 110.32669725])"
6803,"array([36.58241814, -4.63068659])"
6804,"array([-39.04076107,  41.46247411])"
6805,"array([ 31.78742273, -33.98971135])"
6806,"array([ -28.92619981, -101.03542107])"
6807,"array([  57.84314466, -103.96997777])"
6808,"array([-10.26236787, -27.33404624])"
6809,"array([27.81780467, 25.0241275 ])"
6810,"array([36.67560796, 60.5340473 ])"
6811,"array([49.6908571 , 68.46462746])"
6812,"array([-116.06859091,   38.32002875])"
6813,"array([ 16.84196963, -48.28787865])"
6814,"array([67.8616443 , 54.44725477])"
6815,"array([ 79.29979428, 116.84031021])"
6816,"array([129.26867562, -62.52202665])"
6817,"array([ 78.66115788, -77.84857615])"
6818,"array([ 30.59516806, -16.89367398])"
6819,"array([154.83804849,  -7.23479664])"
6820,"array([ 58.29662102, -81.71364339])"
6821,"array([-5.47101451, 71.68826604])"
6822,"array([ 20.66606299, -43.72430493])"
6823,"array([ 10.4761133 , -93.94623132])"
6824,"array([26.60646225, 65.57149228])"
6825,"array([-74.46595279, -99.14970294])"
6826,"array([-8.23593205, 83.17479951])"
6827,"array([  2.78905   , -89.26554421])"
6828,"array([-12.51614713, -52.61008822])"
6829,"array([-88.9972478 ,  96.80583678])"
6830,"array([-120.25246272,  116.70660364])"
6831,"array([ 70.54337837, 128.42397898])"
6832,"array([44.33897579, 79.61072557])"
6833,"array([ 89.24613326, -58.92151649])"
6834,"array([  3.94991337, -54.38251596])"
6835,"array([-99.02935485,  43.69945778])"
6836,"array([121.07429448, -63.55338751])"
6837,"array([-14.55688441, 150.48297201])"
6838,"array([98.65670753, 77.55123162])"
6839,"array([ 35.73381937, -15.89984044])"
6840,"array([ 15.52131815, -27.92027681])"
6841,"array([74.97764635, 39.34355245])"
6842,"array([ 40.20807612, -56.72444963])"
6843,"array([ 50.7641079 , -19.47330422])"
6844,"array([ 33.75862139, -80.12530621])"
6845,"array([28.17064625, 45.89215761])"
6846,"array([82.71699249, 41.6684841 ])"
6847,"array([  15.91200499, -111.78211872])"
6848,"array([ 45.62376251, -59.33615191])"
6849,"array([ 72.75828072, -94.76814523])"
6850,"array([89.36063752, 12.22776978])"
6851,"array([26.8030632 , 71.79134347])"
6852,"array([-28.77398385, -12.98594135])"
6853,"array([-81.30103329, -19.55415971])"
6854,"array([67.11375033,  7.68037821])"
6855,"array([-58.12414086,  51.38074631])"
6856,"array([51.29460246,  5.89156792])"
6857,"array([ 39.16607113, 130.3660173 ])"
6858,"array([   2.501386  , -111.01550983])"
6859,"array([-15.29793916,  51.27504521])"
6860,"array([148.46443789,  32.63197677])"
6861,"array([ 19.82210551, -34.05102635])"
6862,"array([66.7625187, 49.4558729])"
6863,"array([-44.7175351 ,  28.88226983])"
6864,"array([-5.03769829, 18.51313566])"
6865,"array([-11.12431058,  71.70069731])"
6866,"array([11.3577283 , 57.36388726])"
6867,"array([ 1.95267356, 94.43522987])"
6868,"array([-16.90718324,  28.18098634])"
6869,"array([-44.42298475,   5.81266158])"
6870,"array([37.76870338, 20.21128355])"
6871,"array([ 77.6918766 , -16.76598081])"
6872,"array([-71.216996  , -16.13724473])"
6873,"array([-92.14341127, -16.53028587])"
6874,"array([25.58067238, 23.47972366])"
6875,"array([ 38.98552703, -68.37727464])"
6876,"array([13.07789932, 13.0778611 ])"
6877,"array([13.4078117 , -3.66128614])"
6878,"array([ 62.77861246, -21.49076677])"
6879,"array([ 49.8777624 , -91.57647842])"
6880,"array([131.81324201,  57.19223585])"
6881,"array([-66.52033803, 110.64101681])"
6882,"array([101.39362855,  48.19765249])"
6883,"array([39.20870756, 48.23240473])"
6884,"array([104.93662142,  12.53116227])"
6885,"array([ 56.9517627 , 135.99508235])"
6886,"array([60.33692849, 41.96302153])"
6887,"array([ 19.70490289, 104.30241345])"
6888,"array([154.82963117,  65.76507424])"
6889,"array([ 74.05305472, 118.78097933])"
6890,"array([66.69217853, 32.83687821])"
6891,"array([ -13.75639181, -142.03726259])"
6892,"array([ 60.11991703, -19.77690439])"
6893,"array([ 46.03641126, -97.63003568])"
6894,"array([ 16.96609736, -42.25449335])"
6895,"array([38.38811771, 45.17054135])"
6896,"array([  91.07696015, -158.98770881])"
6897,"array([ 41.27473993, 155.09906688])"
6898,"array([-7.58876689, -4.74553924])"
6899,"array([-1.53711564, 53.88339485])"
6900,"array([41.75115631, 68.42180384])"
6901,"array([73.34057748,  6.28200423])"
6902,"array([45.55892715, 50.97259098])"
6903,"array([63.96962629, 30.20813139])"
6904,"array([-2.34947656, 92.17506138])"
6905,"array([24.26412204, 37.57051202])"
6906,"array([  79.6876632 , -104.15381905])"
6907,"array([-45.38712   ,  35.57942879])"
6908,"array([  56.6895992 , -131.19939373])"
6909,"array([  43.44928132, -115.89982253])"
6910,"array([99.90229149,  2.49897371])"
6911,"array([ 30.04206655, -24.43352572])"
6912,"array([ 91.30025868, -33.95004129])"
6913,"array([170.920441  ,  30.23181825])"
6914,"array([-11.56720866, 127.28141807])"
6915,"array([189.0509582 ,  49.17816253])"
6916,"array([175.78490004,  52.08472024])"
6917,"array([-97.05519422,  79.76084233])"
6918,"array([74.17220189, 81.78385569])"
6919,"array([55.29458736,  3.64990839])"
6920,"array([-4.02550928, 30.23757605])"
6921,"array([-56.65627529,  80.10993818])"
6922,"array([169.52059965,  -6.3680891 ])"
6923,"array([68.03140261, 15.85415321])"
6924,"array([32.13120745, 89.59472352])"
6925,"array([117.01820702,  10.59476118])"
6926,"array([ 26.58239524, -21.47902961])"
6927,"array([-82.54579696,  27.30189959])"
6928,"array([-72.50069624,   6.29120943])"
6929,"array([-18.82147972,  56.76164658])"
6930,"array([122.35498361,  66.42920804])"
6931,"array([ 38.95023698, -48.94625482])"
6932,"array([57.40595675, -8.68275356])"
6933,"array([  14.05761501, -144.51950461])"
6934,"array([ 14.79740046, -31.03370118])"
6935,"array([-10.6381086 , -65.89241748])"
6936,"array([13.82540218, -5.36416959])"
6937,"array([-71.99483744, -72.840214  ])"
6938,"array([-47.62021852, 123.62661464])"
6939,"array([10.48399169, -8.14510285])"
6940,"array([-48.48288033, -41.37287582])"
6941,"array([ -3.94984723, -96.35613666])"
6942,"array([ 92.37954598, -30.6864144 ])"
6943,"array([19.31181959, -2.45481656])"
6944,"array([69.65262674, -9.89438363])"
6945,"array([81.35068462, 99.20243475])"
6946,"array([25.42061318, 93.43703019])"
6947,"array([107.27632769,  75.19745096])"
6948,"array([54.65630792, 45.88976398])"
6949,"array([42.51743532, 31.0636208 ])"
6950,"array([-85.38882641,  90.06449912])"
6951,"array([-84.55736007,  68.54728735])"
6952,"array([22.80373418,  5.11030639])"
6953,"array([-4.37427037, 12.97656039])"
6954,"array([ 81.55866433, -26.20287726])"
6955,"array([ 56.26731638, 138.89188439])"
6956,"array([-48.18288761, -33.95109533])"
6957,"array([-85.93006684,  38.56540165])"
6958,"array([127.27707046,  81.635044  ])"
6959,"array([103.5831448 , -34.96912731])"
6960,"array([57.25264906, 69.20252772])"
6961,"array([ 64.33043334, 101.60786478])"
6962,"array([ -3.43414739, -77.85704725])"
6963,"array([57.67985934, 72.96777789])"
6964,"array([ 38.97734807, -99.34488922])"
6965,"array([39.35969776, 63.01290919])"
6966,"array([46.96306308,  4.26105645])"
6967,"array([-115.35527668,   47.70365435])"
6968,"array([-18.76633092, 105.36958016])"
6969,"array([124.2152325 , -28.04843026])"
6970,"array([ 82.52641031, 100.0866509 ])"
6971,"array([ 61.37311732, 118.34521065])"
6972,"array([-1.07643459, 20.96502974])"
6973,"array([ 15.96220462, -37.36606614])"
6974,"array([-11.80532062,  98.56865029])"
6975,"array([-25.70690809, -58.50293249])"
6976,"array([36.32347839, 26.21503444])"
6977,"array([15.49177227, 51.86333285])"
6978,"array([80.17269702, 98.30327932])"
6979,"array([35.97019079, 53.44226101])"
6980,"array([134.2069766 , -50.51740618])"
6981,"array([91.49634084, 49.99513817])"
6982,"array([ 46.81089671, -72.80869801])"
6983,"array([  30.81280879, -112.31804788])"
6984,"array([  27.5827838 , -156.84984298])"
6985,"array([-81.81010097,  15.92985366])"
6986,"array([162.74845024,  89.64153053])"
6987,"array([-66.13243338, -41.98006634])"
6988,"array([53.01704271, 22.6381526 ])"
6989,"array([  34.25219303, -108.69887928])"
6990,"array([16.20230715, 65.87358333])"
6991,"array([67.93548825, 47.68705137])"
6992,"array([ 4.8881074 , 44.82739382])"
6993,"array([-76.81464811,  83.24892904])"
6994,"array([115.94252108,  35.46769323])"
6995,"array([-35.1444247 ,   4.99170847])"
6996,"array([-19.4135405 ,  78.31322569])"
6997,"array([  51.68546969, -111.41417283])"
6998,"array([  55.34225546, -108.03177696])"
6999,"array([  68.32613429, -140.64412268])"
7000,"array([-7.86548277, 96.10424295])"
7001,"array([160.16417827,  10.82726004])"
7002,"array([ 33.80742944, -64.50388536])"
7003,"array([ -5.63403804, 122.88284717])"
7004,"array([-41.59707432,   4.21708927])"
7005,"array([53.39869972, 98.17335944])"
7006,"array([44.05004701, 87.81978194])"
7007,"array([-96.25814236, -49.70744264])"
7008,"array([7.5984876 , 3.09862747])"
7009,"array([-45.31859885,  32.01855421])"
7010,"array([-52.58672015, -41.92126194])"
7011,"array([-94.04381016, -69.03831112])"
7012,"array([ 9.25399029, 80.00768935])"
7013,"array([ 2.85945828, 56.33913198])"
7014,"array([29.78196723, 23.62064419])"
7015,"array([24.81054621, 33.21460782])"
7016,"array([ 46.71977078, -31.17332203])"
7017,"array([37.2286641 , 78.36593051])"
7018,"array([30.41135264, 49.40539374])"
7019,"array([  90.03762693, -116.344481  ])"
7020,"array([101.7256794 ,  34.00833448])"
7021,"array([ 79.04489456, -24.42886715])"
7022,"array([-46.45752956,  50.02939074])"
7023,"array([ -2.62739743, -19.74409885])"
7024,"array([ 40.35220865, -36.87897439])"
7025,"array([-1.68947574, 41.2644434 ])"
7026,"array([ -4.52309693, -18.53842981])"
7027,"array([ -3.22838298, -48.20602973])"
7028,"array([-18.40727415, 138.09457969])"
7029,"array([79.40481155, 32.41737082])"
7030,"array([ 53.05526759, 116.68092532])"
7031,"array([ 59.79319446, -67.19964114])"
7032,"array([-12.19963024,   6.0273846 ])"
7033,"array([-73.43109761,  88.34053477])"
7034,"array([-24.97531081,  86.00114917])"
7035,"array([100.78558599,  -2.27174076])"
7036,"array([123.73566047, -10.52107999])"
7037,"array([ 53.50383713, -16.17159598])"
7038,"array([78.64061772, 15.29946499])"
7039,"array([30.56376774, 62.24035142])"
7040,"array([ 78.08607449, -95.33898204])"
7041,"array([-2.65470633, 24.2121904 ])"
7042,"array([42.64627492, 43.34740478])"
7043,"array([45.66957718, 33.05018161])"
7044,"array([45.94929326, -2.76175552])"
7045,"array([103.55901024, -93.45408917])"
7046,"array([109.61472789, -59.66127147])"
7047,"array([ 91.06607681, -78.21521769])"
7048,"array([13.53805798,  6.91311598])"
7049,"array([ 45.57479975, -38.40806451])"
7050,"array([ 79.45979416, -35.92009675])"
7051,"array([77.68511736, 49.98455559])"
7052,"array([-26.1482176, -15.1332137])"
7053,"array([130.62605709,  44.33810055])"
7054,"array([160.39828123,  50.30971498])"
7055,"array([-65.99833439,  51.26741572])"
7056,"array([65.62479809, -8.17144467])"
7057,"array([ 19.2047204 , -14.04984066])"
7058,"array([  6.39857062, -58.37322818])"
7059,"array([-76.57497252, -48.65328915])"
7060,"array([-6.09229771, 78.40111586])"
7061,"array([-53.82925706, -90.00546356])"
7062,"array([-12.7749238 ,  44.22903794])"
7063,"array([145.50675998,  27.11907615])"
7064,"array([171.89798277,  52.0171783 ])"
7065,"array([ 12.94768604, -52.26584695])"
7066,"array([14.71290333, 12.39430584])"
7067,"array([105.67514683, -73.59822784])"
7068,"array([-40.05033622, -45.65688673])"
7069,"array([ 46.96956942, -36.58429408])"
7070,"array([19.95215703, -6.8315834 ])"
7071,"array([154.36033456,  70.12703242])"
7072,"array([39.92219425, 49.43110002])"
7073,"array([37.87086473, 22.5679443 ])"
7074,"array([108.07600605, -22.76405364])"
7075,"array([120.6778727 , -23.89162677])"
7076,"array([76.53021684, 29.0087398 ])"
7077,"array([ 10.99344026, -17.93655037])"
7078,"array([ 48.24262869, -38.41820127])"
7079,"array([30.20031594, 52.30865044])"
7080,"array([81.53310833, 93.31406502])"
7081,"array([ 13.8442316 , -83.64610915])"
7082,"array([ 43.21799265, 100.59261978])"
7083,"array([53.30993124, 74.57969554])"
7084,"array([-12.78141793, -41.77153831])"
7085,"array([-61.60569463, -78.14118997])"
7086,"array([44.78530136, 98.88930616])"
7087,"array([ 68.13868257, 135.78023064])"
7088,"array([ 1.67492499, -6.81247032])"
7089,"array([115.39568395,  84.2290629 ])"
7090,"array([ 33.32465825, 126.05534235])"
7091,"array([127.78322824,  93.57067214])"
7092,"array([39.12208838, 41.70790234])"
7093,"array([-62.50292583, -35.37740691])"
7094,"array([-13.40254929, -16.4257459 ])"
7095,"array([40.998364  , 79.59461876])"
7096,"array([ 71.57284455, -15.79437393])"
7097,"array([ 80.94402352, -59.12874416])"
7098,"array([-69.28212468,  76.94024489])"
7099,"array([ -77.4306778 , -118.28739701])"
7100,"array([ -73.43817686, -112.56439032])"
7101,"array([  1.48726323, -90.74006307])"
7102,"array([45.18455504,  1.56985571])"
7103,"array([-29.59047089,  18.91192367])"
7104,"array([ -0.64072018, -92.27800737])"
7105,"array([   7.22553938, -104.70892514])"
7106,"array([82.4668467 , 14.18699203])"
7107,"array([-53.07615164,  -1.94512393])"
7108,"array([ 14.4699185 , -27.11101451])"
7109,"array([ 52.88100787, 127.77170923])"
7110,"array([ 82.72226192, -31.38847973])"
7111,"array([ 80.97874686, -11.89227132])"
7112,"array([127.22677353,  62.31494582])"
7113,"array([ 79.06813706, 106.99727569])"
7114,"array([18.76474622, -3.56873713])"
7115,"array([-49.71277973, -44.77273073])"
7116,"array([ 8.16851998, 57.46145445])"
7117,"array([-70.8282572 ,  -7.24443569])"
7118,"array([ -38.09428507, -108.09960288])"
7119,"array([ -5.93450228, -24.5593245 ])"
7120,"array([120.19529133,  36.07755834])"
7121,"array([-10.15153611,   3.40723479])"
7122,"array([59.12994383, 14.20475754])"
7123,"array([ 66.35588774, -23.85746699])"
7124,"array([14.91502846, 32.98021091])"
7125,"array([ 87.50624514, 115.01470692])"
7126,"array([43.81229942, 51.97007642])"
7127,"array([ 66.10316033, -78.92324261])"
7128,"array([ 43.56125476, 102.88778159])"
7129,"array([ 64.00090524, 123.47687964])"
7130,"array([66.16083854,  5.48420376])"
7131,"array([-18.11148194, -83.41800302])"
7132,"array([ 39.52965262, -32.41988631])"
7133,"array([13.45450022, 61.32988923])"
7134,"array([-64.56584099,  63.75236066])"
7135,"array([ 51.13842549, -34.13890174])"
7136,"array([  26.395291 , -111.0373223])"
7137,"array([-41.29248378,  40.42906907])"
7138,"array([ 97.56840575, -21.4578759 ])"
